pemegang_pendaftaran,jumlah_produk,rincian_jenis
PT. RAJA GROUP INDONESIA,8,Insektisida:5; Zat Pengatur Tumbuh Tanaman:2; Herbisida:1
PT. HARINA CHEMICALS INDUSTRI,8,Zat Pengatur Tumbuh Tanaman:4; Insektisida:2; Fungisida:2
PT. MONAGRO KIMIA,8,Herbisida:8
PT. ANDAFA AGRO INDO,8,Insektisida:4; Herbisida:2; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1
CV. DUTA TANI,8,Fungisida:4; Insektisida:3; Herbisida:1
PT. CROPLINK AGRIKULTUR TEKNOLOGI,8,Herbisida:4; Zat Pengatur Tumbuh Tanaman:3; Insektisida:1
PT. BIO SARANA INDONESIA,8,Fungisida:2; Rodentisida:2; Insektisida:2; Atraktan / Feromon:1; Herbisida:1
PT.ASIANA CHEMICALINDO LESTARI,7,Herbisida:6; Insektisida:1
PT. SANBRAND AGRO SEJAHTERA,7,Insektisida:4; Herbisida:3
PT. BERSAMA SATU TEGUH,7,Herbisida:5; Fungisida:1; Insektisida:1
PT. FORTUNA MULIA SEJATI,7,Insektisida:3; Herbisida:3; Fungisida:1
PT. MAHKOTA AGRO INDUSTRI,7,Herbisida:5; Insektisida:2
PT. SAFEEKO BIO INDONESIA,7,Insektisida:5; Fungisida:2
PT. MARGA DWI KENCANA,7,Pestisida lain-lain:7
PT. GELPI KURNIALESTARI,7,Insektisida:7
PT. VISION CROP PROTECTION,7,Pestisida Rumah Tangga:3; Insektisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1
PT. BUMI MAKMUR LESTARI UTAMA,7,Insektisida:4; Moluskisida:1; Rodentisida:1; Bahan pengawet kayu:1
PT. MC TRADING INDONESIA,7,Insektisida:4; Fungisida:2; Herbisida:1
PT. PUSRI AGRO LESTARI,7,Insektisida:4; Herbisida:2; Fungisida:1
PT. ALISHAN NUSA INDAH,7,Insektisida:4; Herbisida:2; Fungisida:1
PT. SANTANI SEJAHTERA,7,Herbisida:4; Moluskisida:1; Insektisida:1; Fungisida:1
PT. SOLUSI TANI INDONESIA,6,Fungisida:3; Insektisida:2; Herbisida:1
PT. BELIRANG KALISARI,6,Insektisida:4; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1
PT. FADJARPURNAMA PRATAMA INTI,6,Herbisida:4; Insektisida:1; Zat Pengatur Tumbuh Tanaman:1
PT. ANDALL HASA PRIMA,6,Herbisida:6
CV. PRIMA AGRO PERKASA,6,Insektisida:4; Herbisida:2
PT. SUMBER AGRO PERKASA,6,Herbisida:6
PT. TRI AGRO CHEMICALS,6,Insektisida:4; Moluskisida:1; Herbisida:1
PT. SUPRA TUSAMAN ABADI,6,Pestisida Rumah Tangga:4; Repelen:2
PT. AGROLAND INDO SYNERGY,6,Herbisida:3; Insektisida:2; Moluskisida:1
PT. ALFA BETA AGROCHEMICAL,6,Insektisida:5; Fungisida:1
